time,mag,place
2022-04-15T08:20:18.166Z,1.40,"7 km SSE of Houston, Alaska"
2022-04-15T08:19:46.650Z,0.70,"2km SW of Cobb, CA"
2022-04-15T08:08:45.550Z,0.84,"6km W of Cobb, CA"
2022-04-15T08:06:27.880Z,0.99,"9km NE of Coso Junction, CA"
2022-04-15T07:49:45.552Z,3.80,"38 km SSW of King Cove, Alaska"
2022-04-15T07:20:10.320Z,0.98,"25km ENE of Pine Valley, CA"
2022-04-15T07:18:19.370Z,2.06,"5 km ENE of Pāhala, Hawaii"
2022-04-15T07:17:47.509Z,1.30,"24 km SE of Rachel, Nevada"
2022-04-15T07:04:00.850Z,0.46,"7km NW of The Geysers, CA"
2022-04-15T06:59:02.922Z,1.20,"69 km E of McCarthy, Alaska"
2022-04-15T06:54:17.620Z,2.23,"3 km SSW of Peñuelas, Puerto Rico"
2022-04-15T06:54:09.527Z,5.10,"172 km ESE of Kimbe, Papua New Guinea"
2022-04-15T06:48:00.240Z,1.75,"1 km SSW of Pāhala, Hawaii"
2022-04-15T06:44:38.648Z,1.50,"21 km SE of Skwentna, Alaska"
2022-04-15T06:38:56.520Z,0.79,"14km E of Ridgecrest, CA"
2022-04-15T06:36:27.750Z,1.10,"19 km NW of Schurz, Nevada"
2022-04-15T06:35:25.980Z,2.42,"2 km SSW of Pāhala, Hawaii"
2022-04-15T06:19:29.120Z,2.54,"9 km SSE of Maria Antonia, Puerto Rico"
2022-04-15T05:58:00.800Z,0.52,"9km S of Idyllwild, CA"
2022-04-15T05:52:05.956Z,1.40,"51 km SW of Central, Alaska"
2022-04-15T05:49:17.175Z,4.90,"152 km NNE of Calama, Chile"
2022-04-15T05:13:22.710Z,2.20,"2 km S of Pāhala, Hawaii"
2022-04-15T05:04:09.830Z,0.95,"5km S of Redlands, CA"
2022-04-15T04:37:27.749Z,1.50,"51 km ESE of Knik River, Alaska"
2022-04-15T04:36:07.387Z,1.60,"12 km SSW of Skwentna, Alaska"
2022-04-15T04:30:55.980Z,4.55,"20km W of El Sauzal, B.C., MX"
2022-04-15T04:25:50.286Z,3.30,"46 km SW of Central, Alaska"
2022-04-15T04:23:36.320Z,0.86,"9km WNW of Cobb, CA"
2022-04-15T04:18:19.620Z,1.07,"13km WNW of Anza, CA"
2022-04-15T04:13:45.160Z,0.79,"4km S of Lytle Creek, CA"
2022-04-15T03:40:05.850Z,2.24,"22km ENE of Le Grand, CA"
2022-04-15T03:39:35.335Z,2.10,"62 km NNE of Chase, Alaska"
2022-04-15T03:37:30.100Z,0.37,"10km NW of The Geysers, CA"
2022-04-15T03:35:05.920Z,1.70,"13 km SSE of Fern Forest, Hawaii"
2022-04-15T03:26:11.730Z,0.25,"5km W of Cobb, CA"
2022-04-15T03:25:43.881Z,3.60,"69 km S of Shungnak, Alaska"
2022-04-15T03:25:20.823Z,2.90,"66 km SSE of Hughes, Alaska"
2022-04-15T03:24:42.570Z,1.94,"2 km S of Pāhala, Hawaii"
2022-04-15T03:17:31.216Z,1.30,"56 km S of Denali National Park, Alaska"
2022-04-15T03:15:17.610Z,2.25,"1 km SSW of Pāhala, Hawaii"
2022-04-15T03:13:11.734Z,1.20,"18 km WNW of Clam Gulch, Alaska"
2022-04-15T03:05:52.010Z,1.60,"4km S of Bella Vista, CA"
2022-04-15T03:01:31.833Z,1.80,"19 km W of Denali Park, Alaska"
2022-04-15T03:00:05.233Z,4.70,"153 km WNW of Ishikawa, Japan"
2022-04-15T02:42:23.394Z,1.50,"12 km SSW of Susitna, Alaska"
2022-04-15T02:41:28.710Z,2.23,"1 km SSW of Fuig, Puerto Rico"
2022-04-15T02:41:17.876Z,4.00,"29 km SE of Jurm, Afghanistan"
2022-04-15T02:30:50.515Z,4.40,"34 km WNW of Copiapó, Chile"
2022-04-15T02:24:38.670Z,1.74,"6km NNE of Pinnacles, CA"
